Player,Pos,Team,Rank,Fan Pts,Cur Team,Owner,Draft Team,Draft Owner,Rd,Pick,ADP,% Draft,GP,G,A,P,PIM,SOG,HIT,BLK,W,SV,SV%,GA,SO,% Own,Fan Pts/GP,ID
Samuel Honzek,LW,CGY,680,35.70,,,,,,,,,18,2,2,4,2,22,35,6,,,,,,,1.98,465.p.30562
Frederik Andersen,G,CAR,681,35.60,,,Powerplay Papi,Cooper,18,245,141.4,1.0,18,,,,,,,,6,388,0.866,60,0,30.0,1.98,465.p.5161
Isac Lundestrom,C,CBJ,682,35.60,,,,,,,,,35,1,4,5,4,30,13,16,,,,,,,1.02,465.p.7921
Alexander Romanov,D,NYI,683,35.10,,,DubJ,John,12,155,179.7,0.1,15,0,1,1,6,17,31,31,,,,,,3.0,2.34,465.p.7936
Mattias Janmark,C,EDM,684,35.00,,,,,,,,,29,1,6,7,16,21,10,9,,,,,,,1.21,465.p.6059
Nils Lundkvist,D,DAL,685,34.70,,,,,,,,,18,2,3,5,6,16,17,20,,,,,,,1.93,465.p.7926
Sonny Milano,LW,WSH,686,34.60,,,,,,,,,26,4,3,7,4,29,7,3,,,,,,,1.33,465.p.6382
Calle Jarnkrok,C,TOR,687,34.40,,,,,,,,,27,5,0,5,4,25,17,4,,,,,,,1.27,465.p.5024
Nicolas Deslauriers,LW,PHI,688,34.40,,,,,,,,,17,0,0,0,24,7,59,5,,,,,,,2.02,465.p.5345
Declan Carlile,D,TB,689,34.25,,,,,,,,,22,1,2,3,13,18,24,18,,,,,,,1.56,465.p.9228
Arvid Soderblom,G,CHI,690,34.20,,,,,,,,,13,,,,,,,,5,356,0.873,52,0,1.0,2.63,465.p.8871
Zach Bogosian,D,MIN,691,34.00,,,,,,,,,23,1,3,4,4,20,20,20,,,,,,,1.48,465.p.4473
Ben Jones,C,MIN,692,33.80,,,,,,,,,21,1,0,1,0,19,51,7,,,,,,,1.61,465.p.7704
Leevi Merilainen,G,OTT,693,33.60,,,,,,,166.3,0.1,16,,,,,,,,6,343,0.866,53,0,7.0,2.10,465.p.8709
